"id","player","atpname","birthdate","weight","height","turnedpro","birthplace","coaches","hand","backhand","ioc"
"CA50","Cledson Carvalho","Cledson Carvalho","19850819","","","","","","","Unknown","BRA"
"CA53","Dante Cipulli","Dante Cipulli","19811111","","","","","","","Unknown","ARG"
"CA60","Andrei Ciumac","Andrei Ciumac","19850910","","","","","","","","MDA"
"CA61","Viorel-Catalin Ciobanu","Viorel-Catalin Ciobanu","19810317","","","","","","","Unknown","ROU"
"CA62","Erik Crepaldi","Erik Crepaldi","19900504","","","","Vercelli, Italy","","L","Unknown","ITA"
"CA69","Alberto Cristofaro","Alberto Cristofaro","19880618","","","","","","","Unknown","ITA"
"CA71","Edward Corrie","Edward Corrie","19880221","80","183","","Harpenden, England","Tom Corrie","R","2H","GBR"
"CA72","David Canudas-Fernandez","David Canudas-Fernandez","19830401","","","","","","","Unknown","ESP"
"CA82","Yu Chang","Yu Chang","19880814","70","185","","Tianjin","Jeff","L","2H","CHN"
"CA90","John Carver","John Carver","19860429","","","","","","","Unknown","GBR"
"CA93","Pavel Chekhov","Pavel Chekhov","19880727","72","","","Moscow, Russia","","R","","RUS"
"CA99","Marius Copil","Marius Copil","19901017","87","191","2008","Arad, Romania","Andrei Mlendea","R","1H","ROU"
"CB04","Alin-Mihai Constantin","Alin-Mihai Constantin","19900201","","","","","","","Unknown","ROU"
"CB11","Dane Chuntraruk","Dane Chuntraruk","19851227","","","","","","","Unknown","THA"
"CB14","Daniel Cox","Daniel Cox","19900928","68","170","2011","Lincoln, Great Britain","Justin Revill","R","2H","GBR"
"CB27","Pavel Cerny","Pavel Cerny","19880122","","","","","","","Unknown","CZE"
"CB33","Martin Colenbrander","Martin Colenbrander","19880908","","","","","","","Unknown","NZL"
"CB36","Rudy Coco","Rudy Coco","19840321","102","196","","","","L","2H","FRA"
"CB41","Austen Childs","Austen Childs","19890223","","","","","","","","NZL"
"CB45","Manuel Cavaco","Manuel Cavaco","19891207","","","","","","","Unknown","PRT"
"CB50","Alexander Chen","Alexander Chen","19910108","","","","","","","Unknown","UZB"
"CB51","Bradley Cox","Bradley Cox","19890523","","","","","","R","Unknown","USA"
"CB56","Tinotenda Chanakira","Tinotenda Chanakira","19881025","68","180","","Harare, Zimbabwe","","R","2H","ZWE"
"CB58","Henrique Cunha","Henrique Cunha","19900430","75","178","","Jau, Brazil","-","L","2H","BRA"
"CB66","James Cluskey","James Cluskey","19860818","","","","Dublin, Ireland","","R","Unknown","IRL"
"CB67","Matias Castro","Matias Castro","19871021","","","","","","","Unknown","ARG"
"CB73","Francoise Castejon","Francoise Castejon","19781208","","","","","","","Unknown","VEN"
"CB76","Robert Coman","Robert Coman","19901102","","","","","","R","Unknown","ROU"
"CB77","Robert Chambers","Robert Chambers","19880131","","","","","","","Unknown",""
"CB81","Ruslan Chomaev","Ruslan Chomaev","19871023","","","","","","","Unknown","RUS"
"CB87","Rafael Camilo","Rafael Camilo","19900313","","","","","","","Unknown","BRA"
"CB88","Pitichart Chokchaijaroen","Pitichart Chokchaijaroen","19860114","","","","","","","Unknown","THA"
"CB97","Simon Cauvard","Simon Cauvard","19861021","","","","","","","Unknown","FRA"
"CC04","Ricardo Corrente","Ricardo Corrente","19910522","","","","","","","Unknown","VEN"
"CC07","Hendrik Coertzen","Hendrik Coertzen","19900812","","","","","","","Unknown","RSA"
"CC09","Soong-Jae Cho","Soong-Jae Cho","19901220","","","","","","","","KOR"
"CC12","Erik Corace","Erik Corace","19890209","","","","","","","Unknown","USA"
"CC21","Reid Carleton","Reid Carleton","19890227","","","","","","","Unknown","USA"
"CC23","Giorgi Chantouria","Giorgi Chantouria","19890123","69","178","","Tbilsi, Georgia","","L","","GEO"
"CC24","George Coupland","George Coupland","19890512","73","193","","Beverly, Great Britain","","R","Unknown","GBR"
"CC27","Antoine Champagne","Antoine Champagne","19900918","","","","","","","Unknown","BEL"
"CC32","Guilherme Clezar","Guilherme Clezar","19921231","77","180","2009","Porto Alegre, Brazil","","R","2H","BRA"
"CC36","Tyler Chin","Tyler Chin","19880703","","","","","","","","JAM"
"CC48","Pongphun Chimdee","Pongphun Chimdee","19881111","","","","","","","Unknown","THA"
"CC54","Nikola Cacic","Nikola Cacic","19901207","75","183","2007","Banja Luka, Bosnia-Herzegovina","Alberto Castellani","R","2H","SRB"
"CC57","Keith-Patrick Crowley","Keith-Patrick Crowley","19881215","","","","","","","Unknown","RSA"
"CC60","Piotr Cialkowski","Piotr Cialkowski","19870921","","","","","","","Unknown","POL"
"CC66","Andrea Collarini","Andrea Collarini","19920131","78","183","2010","New York, NY, USA","Juan Martin Aranguren","L","2H","ARG"
"CC78","Ilya Chkoniya","Ilya Chkoniya","19830618","","","","","","","Unknown","RUS"
"CC79","Anton Chekhov","Anton Chekhov","19920915","77","185","","Krasnogorsk, Russia","Pavel Chekhov (ShkolaTennisa.ru)","R","2H","RUS"
"CC84","Daniel Chu","Daniel Chu","19850111","","","","","","L","Unknown","CAN"
"CC98","Martin Cuevas","Martin Cuevas","19920114","90","191","2010","Salto, Uruguay","Felipe Maccio","R","1H","URU"
"CD00","Maxime Chazal","Maxime Chazal","19930424","72","175","","Noum̩a","Florian Reynet, Rodolphe Cadart","R","1H","FRA"
"CD13","Ignacio Carbonell","Ignacio Carbonell","","","","","","","","Unknown","ESP"
"CD19","Alvaro Cajigal","Alvaro Cajigal","19920130","","","","","","","Unknown","ESP"
"CD29","Vamsee Chappidi","Vamsee Chappidi","19920516","","","","","","","Unknown","IND"
"CD30","Jack Carpenter","Jack Carpenter","19920411","","","","","","","Unknown",""
"CD39","Charles Costa","Charles Costa","19890524","","","","","","","Unknown","BRA"
"CD59","Francisco Carbajal","Francisco Carbajal","19900418","","","","","","","Unknown","PER"
"CD61","Jordan Cox","Jordan Cox","19920107","84","188","","Miami, Florida, USA","","R","2H","USA"
"CD85","Pablo Carreno Busta","Pablo Carreno Busta","19910712","78","188","2009","Gijon, Spain","Samuel Lopez, Jose Antonio Sanchez-de Luna","R","2H","ESP"
"CD94","Jarryd Chaplin","Jarryd Chaplin","19920413","84","183","","Sydney, Australia","","R","1H","AUS"
"CD98","Cedrick Commin","Cedrick Commin","19930112","","","","","","","Unknown","FRA"
"CE25","Salvatore Caruso","Salvatore Caruso","19921215","80","185","2010","Avola, Italy","Paolo Cannova","R","2H","ITA"
"CE28","Ben Chen","Ben Chen","19910107","","","","","","","Unknown","USA"
"CE32","Rodrigo Carvalho","Rodrigo Carvalho","19910626","","","","","","R","2H","PRT"
"CE33","Andre Caiado","Andre Caiado","19910725","","","","","","","Unknown","PRT"
"CE35","Alexis Carlos","Alexis Carlos","19921119","","","","","","","Unknown","MEX"
"CE46","Julien Carsuzaa","Julien Carsuzaa","19861208","","","","","","","Unknown","FRA"
"CE60","Ljubomir Celebic","Ljubomir Celebic","19910915","70","175","","Podgorica, Montenegro","Galli Matteo","L","2H","MNE"
"CE71","Alberto Cammarata","Alberto Cammarata","19930408","77","175","","Palermo, Italy","Aldi","R","1H","ITA"
"CE76","Jesper Cederlind","Jesper Cederlind","19920227","","","","","","","Unknown","SWE"
"CE77","Federico Coria","Federico Coria","19920309","73","180","2010","Rosario, Argentina","Carlos Berlocq","R","2H","ARG"
"CE81","Scott Clayton","Scott Clayton","19940211","75","183","","Jersey, Great Britain","","R","2H",""
"CE83","Andres Cabezas","Andres Cabezas","19950812","","","","","","","Unknown","ECU"
"CE98","Fedor Chervyakov","Fedor Chervyakov","19930113","80","183","","Izhevsk, Russia","","R","2H","RUS"
"CF01","Marco Cecchinato","Marco Cecchinato","19920930","78","185","2010","Palermo, Italy","Massimo Sartori","R","1H","ITA"
"CF05","Zhao Cai","Zhao Cai","19940705","70","175","","sichuan suining","jiang xu bo","R","2H","CHN"
"CF07","Hong Chung","Hong Chung","19930516","76","170","","Suwon","","L","2H","KOR"
"CF08","Jose Chamba Gomez","Jose Chamba Gomez","19951107","","","","","","","Unknown","ECU"
"CF10","Nick Chappell","Nick Chappell","19920919","82","178","","Toronto, Canada","Dan O'Neill","L","2H","USA"
"CF23","Lance Cohen","Lance Cohen","19880212","88","193","","Johanesburg","","R","Unknown","RSA"
"CF25","Victor Cornea","Victor Cornea","19930924","80","196","","Sibiu, Romania","-","L","2H","ROU"
"CF30","Constantin Christ","Constantin Christ","19930124","","","","","","","Unknown","GER"
"CF52","Andrei Cociasu","Andrei Cociasu","19920710","","","","","","R","2H","ROU"
"CF59","Roberto Carballes Baena","Roberto Carballes Baena","19930323","77","183","2011","Tenerife, Spain","Jose Maria Garrido Ros","R","2H","ESP"
"CF60","Pawel Juszczak","Pawel Juszczak","19940222","70","178","","Gdansk, Poland","Tadeusz Juszczak","R","2H","POL"
"CF88","Roberto Cid Subervi","Roberto Cid Subervi","19930830","82","193","","Santo Domingo","","R","2H","DOM"
"CG04","Pedro Cachin","Pedro Cachin","19950412","77","185","2013","Bell Ville, Argentina","Martin Cuevas, Matias Barreira, Alex Corretja","R","2H","ARG"
"CG07","Hernan Casanova","Hernan Casanova","19940206","76","178","","Buenos Aires, Argentina","Jorge Bernard, Juan Martin Aranguren","R","2H","ARG"
"CG26","Ting Yu Chuang","Ting Yu Chuang","19930424","71","180","","Tainan","","R","2H","TWN"
"CG32","Julien Cagnina","Julien Cagnina","19940604","72","183","","Li̬ge","","R","2H","BEL"
"CG33","Kimmer Coppejans","Kimmer Coppejans","19940207","71","178","2012","Oostende, Belgium","Michael Lynch, Alexander Kneepkens, Niels Desein","R","2H","BEL"
"CG35","Luis Diego Chavez Villalpando","Luis Diego Chavez Villalpando","19951024","","","","","","","","BOL"
"CG40","Patrick Ciorcila","Patrick Ciorcila","19960920","70","180","","Cluj Napoca , Romania","Andrei Pavel","R","2H","ROU"
"CG42","Zhaoyi Cao","Zhaoyi Cao","19931205","75","185","","HEILONGJIANG","","R","Unknown","CHN"
"CG49","Andrew Carter","Andrew Carter","19900328","73","170","","Greensboro, NC, USA","","R","Unknown","USA"
"CG50","Juan Sebastian Carvajal Jurado","Juan Sebastian Carvajal Jurado","19950426","","","","","","R","2H","ECU"
"CG63","Hunter Callahan","Hunter Callahan","19921221","77","191","","Philadelphia, PA, USA","Marco Martizi","R","2H","USA"
"CG64","Cristian Carli","Cristian Carli","19960325","80","183","","Cesena, Italy","Ferdinando Bonuccelli","R","2H","ITA"
"CG67","Oliver Ceranic","Oliver Ceranic","19950206","","","","","","","Unknown","AUS"
"CG73","Ayoub Chakrouni","Ayoub Chakrouni","19910610","","","","","","","","MAR"
"CG80","Borna Coric","Borna Coric","19961114","85","188","2013","Zagreb, Croatia","Franko Skugor","R","2H","CRO"
"CG82","Robert Carter","Robert Carter","19930713","","","","","","","Unknown",""
"CG84","Gregorio Cordonnier","Gregorio Cordonnier","19960202","80","198","","Chascom̼s","","R","2H","COL"
"CG88","Dominic Cotrone","Dominic Cotrone","19930804","82","185","","Holtsville","","R","2H","USA"
"CG92","Jose Fernando Carvajal Torres","Jose Fernando Carvajal Torres","19980320","80","","","Pereira, Colombia","","R","2H","COL"
"CG94","Enzo Couacaud","Enzo Couacaud","19950301","78","183","2013","Curepipe, Mauritius","","R","2H","FRA"
"CG97","Artur Completo","Artur Completo","19940221","74","178","","","","R","2H","PRT"
